File	Method	Mentions	Entities_Exact	Entities_Norm	Entities_Fuzzy	Coverage_Exact_Hit	Coverage_Exact_Total	Coverage_Exact_percent	Recall_Exact_percent	EvidenceBacked_Recall_Exact_percent	TrustedBacked_Recall_Exact_percent	Recall_withDatasetURL_Exact_percent	Recall_withValidDatasetURL_Exact_percent	Hit_Exact_Total	Hit_Exact_WithDatasetURL	Hit_Exact_WithWorkingDatasetURL	EBC_Exact_Hit	EBC_Exact_percent	TBC_Exact_Hit	TBC_Exact_percent	Coverage_Norm_Hit	Coverage_Norm_Total	Coverage_Norm_percent	Recall_Norm_percent	EvidenceBacked_Recall_Norm_percent	TrustedBacked_Recall_Norm_percent	Recall_withDatasetURL_Norm_percent	Recall_withValidDatasetURL_Norm_percent	Hit_Norm_Total	Hit_Norm_WithDatasetURL	Hit_Norm_WithWorkingDatasetURL	EBC_Norm_Hit	EBC_Norm_percent	TBC_Norm_Hit	TBC_Norm_percent	Coverage_Fuzzy_Hit	Coverage_Fuzzy_Total	Coverage_Fuzzy_percent	Recall_Fuzzy_percent	EvidenceBacked_Recall_Fuzzy_percent	TrustedBacked_Recall_Fuzzy_percent	Recall_withDatasetURL_Fuzzy_percent	Recall_withValidDatasetURL_Fuzzy_percent	Hit_Fuzzy_Total	Hit_Fuzzy_WithDatasetURL	Hit_Fuzzy_WithWorkingDatasetURL	EBC_Fuzzy_Hit	EBC_Fuzzy_percent	TBC_Fuzzy_Hit	TBC_Fuzzy_percent	Redundancy_rate	Evidence_PID	Evidence_TrustedHost	Evidence_OtherLink	Evidence_None	PID_Rate_percent	Novel_Norm	Novel_Norm_Base	Novelty_Norm_percent
All-in-One Image Restoration.xlsx	ours	241	241	240	223	18	30	60.0	60.0	60.0	60.0	33.33	0.0	18	10	0	18	60.0	18	60.0	20	30	66.67	66.67	66.67	66.67	40.0	0.0	20	12	0	20	66.67	20	66.67	22	30	73.33	73.33	73.33	73.33	43.33	0.0	22	13	0	22	73.33	22	73.33	0.0042	239	0	1	0	99.58	0	240	N/A
All-in-One Image Restoration.xlsx	google	8	8	8	7	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	4	0	0	4	50.0	0	8	N/A
All-in-One Image Restoration.xlsx	datacite	25	19	19	19	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.3158	19	0	0	0	100.0	0	19	N/A
Document-level Event Extraction Datasets.xlsx	ours	101	101	101	98	2	23	8.7	8.7	8.7	8.7	4.35	0.0	2	1	0	2	8.7	2	8.7	9	23	39.13	39.13	39.13	39.13	30.43	0.0	9	7	0	9	39.13	9	39.13	13	23	56.52	56.52	56.52	56.52	30.43	0.0	13	7	0	13	56.52	13	56.52	0.0	98	0	3	0	97.03	0	101	N/A
Document-level Event Extraction Datasets.xlsx	google	8	8	8	7	3	23	13.04	13.04	13.04	13.04	13.04	0.0	3	3	0	3	13.04	3	13.04	3	23	13.04	13.04	13.04	13.04	13.04	0.0	3	3	0	3	13.04	3	13.04	3	23	13.04	13.04	13.04	13.04	13.04	0.0	3	3	0	3	13.04	3	13.04	0.0	4	3	1	0	50.0	0	8	N/A
Document-level Event Extraction Datasets.xlsx	datacite	12	12	12	12	0	23	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	23	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	23	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	12	0	0	0	100.0	0	12	N/A
Event-based Stereo Depth Estimation.xlsx	ours	55	55	55	54	9	17	52.94	52.94	52.94	52.94	52.94	0.0	9	9	0	9	52.94	9	52.94	9	17	52.94	52.94	52.94	52.94	52.94	0.0	9	9	0	9	52.94	9	52.94	9	17	52.94	52.94	52.94	52.94	52.94	0.0	9	9	0	9	52.94	9	52.94	0.0	55	0	0	0	100.0	0	55	N/A
Event-based Stereo Depth Estimation.xlsx	google	1	1	1	1	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	1	0	0.0	0	1	N/A
Event-based Stereo Depth Estimation.xlsx	datacite	1	1	1	1	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	17	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	1	0	0.0	0	1	N/A
Multi-modal Knowledge Graph Reasoning.xlsx	ours	231	231	231	227	7	11	63.64	63.64	63.64	63.64	18.18	0.0	7	2	0	7	63.64	7	63.64	9	11	81.82	81.82	81.82	81.82	27.27	0.0	9	3	0	9	81.82	9	81.82	9	11	81.82	81.82	81.82	81.82	27.27	0.0	9	3	0	9	81.82	9	81.82	0.0	225	0	6	0	97.4	0	231	N/A
Multi-modal Knowledge Graph Reasoning.xlsx	google	2	2	2	2	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	2	0	0	0.0	0	2	N/A
Multi-modal Knowledge Graph Reasoning.xlsx	datacite	8	7	7	7	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.1429	7	0	0	0	100.0	0	7	N/A
Patent classification nlp.xlsx	our	58	58	58	57	3	7	42.86	42.86	42.86	42.86	28.57	0.0	3	2	0	3	42.86	3	42.86	3	7	42.86	42.86	42.86	42.86	28.57	0.0	3	2	0	3	42.86	3	42.86	3	7	42.86	42.86	42.86	42.86	28.57	0.0	3	2	0	3	42.86	3	42.86	0.0	55	0	3	0	94.83	0	58	N/A
Patent classification nlp.xlsx	google	6	6	6	6	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	4	1	1	0	66.67	0	6	N/A
Patent classification nlp.xlsx	datacite	1	1	1	1	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	1	0	0	0	100.0	0	1	N/A
Planning Capabilities of LLM.xlsx	ours	230	230	230	229	10	38	26.32	26.32	26.32	13.16	26.32	0.0	10	10	0	10	26.32	5	13.16	21	38	55.26	55.26	52.63	31.58	52.63	0.0	21	20	0	20	52.63	12	31.58	22	37	59.46	59.46	56.76	35.14	56.76	0.0	22	21	0	21	56.76	13	35.14	0.0	0	91	63	76	0.0	0	230	N/A
Planning Capabilities of LLM.xlsx	google	3	3	3	3	0	38	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	38	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	37	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	1	2	0	0	33.33	0	3	N/A
Planning Capabilities of LLM.xlsx	datacite	18	3	3	3	0	38	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	38	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	37	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	5.0	3	0	0	0	100.0	0	3	N/A
personalized text generation.xlsx	ours	157	157	157	155	0	16	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	1	16	6.25	6.25	6.25	6.25	0.0	0.0	1	0	0	1	6.25	1	6.25	2	16	12.5	12.5	12.5	12.5	6.25	0.0	2	1	0	2	12.5	2	12.5	0.0	149	1	7	0	94.9	0	157	N/A
personalized text generation.xlsx	google	44	43	43	35	1	16	6.25	6.25	6.25	0.0	6.25	0.0	1	1	0	1	6.25	0	0.0	1	16	6.25	6.25	6.25	0.0	6.25	0.0	1	1	0	1	6.25	0	0.0	1	16	6.25	6.25	6.25	0.0	6.25	0.0	1	1	0	1	6.25	0	0.0	0.0233	0	0	43	0	0.0	0	43	N/A
personalized text generation.xlsx	datacite	20	20	20	19	0	16	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	16	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	16	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	20	0	0	0	100.0	0	20	N/A
text line segmentation in historical document.xlsx	ours	113	113	112	110	10	43	23.26	23.26	23.26	23.26	11.63	0.0	10	5	0	10	23.26	10	23.26	13	43	30.23	30.23	30.23	30.23	18.6	0.0	13	8	0	13	30.23	13	30.23	14	43	32.56	32.56	32.56	32.56	20.93	0.0	14	9	0	14	32.56	14	32.56	0.0089	110	0	2	0	98.21	0	112	N/A
text line segmentation in historical document.xlsx	google	8	8	8	8	1	43	2.33	2.33	2.33	0.0	2.33	0.0	1	1	0	1	2.33	0	0.0	1	43	2.33	2.33	2.33	0.0	2.33	0.0	1	1	0	1	2.33	0	0.0	1	43	2.33	2.33	2.33	0.0	2.33	0.0	1	1	0	1	2.33	0	0.0	0.0	5	0	3	0	62.5	0	8	N/A
text line segmentation in historical document.xlsx	datacite	7	4	4	4	0	43	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	43	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	43	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.75	4	0	0	0	100.0	0	4	N/A
